CODIGO,UBICACION,PRODUCTO,DESCRIPCION,MARCA,MODELO,STOCK,OBSERVACIONES,IMAGEN,FECHA DE INGRESO,,,,,,,,,
S0171,AREA EX4,INTERRUPTOR,INTERRUPTOR SENCILLO 125V-10A,VOLTECK,,0,,,,,,,,,,,,
S0172,AREA EX4,INTERRUPTOR,INTERRUPTOR BLANCO,,,0,,,,,,,,,,,,
S0173,AREA EX4,PREFORMADO,PREFORMADO AZUL/MORADO LARGO 8X25,,,-53,,,,,,,,,,,,
S0174,AREA EX4,PREFORMADO,PREFORMADO NARANJA CORTO,,,11,,,,,,,,,,,,
S0175,AREA EX4,BRAZO,BRAZO 60X90,,,-1,,,,,,,,,,,,
S0176,AREA EX4,TENSORES,SUJETADOR DE CABLEADO,OPTICTIMES,JJ-FTC03,0,,,,,,,,,,,,
S0177,AREA EX4,ROSETAS,ROSETAS TELEFONICAS DE 1 Y 2 PUERTOS,,,0,,,,,,,,,,,,
S0178,AREA EX4,ABRAZADERAS,ABRAZADERAS,,,0,,,,,,,,,,,,
S0179,AREA EX4,CONECTOR,CONECTOR RANURA PARALELA,,,0,,,,,,,,,,,,
S0180,AREA EX4,SILLAS,"SILLAS DE PLASTICO, CREMA",LIFETIME,,8,,,,,,,,,,,,
S0181,AREA F,OPTICA TERMINAL BOX,"CAJA DE METAL, GRIS TERMINAL DE OPTICA",TELMEX,12-OBT161X8T,4,,,,,,,,,,,,
S0182,AREA F,ROUTER,300 MBPS WIRELES N GIGABIT VOLP,TP-LINK,XN020-63v,2,,,,,,,,,,,,
S0183,AREA F,SOPORTE PARA PANTALLA,LED/LCD-PLASMA WALL MOUNT,ELE-GATE,HOLD32,1,,,,,,,,,,,,
S0184,AREA F,CARGADOR,CARGADOR,HUAWEI,HW120200V1W,0,,,,,,,,,,,,
S0185,AREA EX3,LENTES,"LENTES DE SEGURIDAD, MICA POLICARBONATO, NEGRO",PRETUL,LEN-SN-P,1,,,,,,,,,,,,
S0186,AREA B,PROTECTOR,PROTECTOR SOLAR PARA CASCO AMARILLO,TRUPER,PROCA-V,2,1 EN AREA B EL RESTO EN EX3,,,,,,,,,,,
S0187,AREA EX3,GUANTES,GUANTES NYLON RECUBIERTOS DE POLIURETANO MEDIANO,TRUPER,GU-112,1,,,,,,,,,,,,
S0188,AREA D,ADAPTADOR,ADAPTADOR,EMPRETOL,EM-FP12V5OA,1,,,,,,,,,,,,
S0189,AREA B,LAMPARA,MULTI-FUNCTION INDUCTION-HEAD LAMP,HEADLAMP,W689,1,,,,,,,,,,,,
S0190,,ROSETA,ROSETA OVALADA CON ADAPTADOR,,,-303,,,,,,,,,,,,
S0191,AREA BAJ,ROSETA,ROSETA OVALADA SIN ADAPTADOR,,,20,HAY UNA CAJA COMPLETA AREA BAJO CON 305 PZ,,,,,,,,,,,
S0192,AREA EX1,CONECTOR,CONECTOR FIBRA ÓPTICA,,,499,,,,,,,,,,,,
S0193,AREA EX3,JUMPER / PIGTAILS,JUMPER MIKROTIK (FLEX-GUIDE) DE 50 CM U,MIKROTIK,ACRPSMA,1,,,,,,,,,,,,
S0194,AREA EX3,CAJA DE FIBRA,CAJA DE FIBRA P/24 EMP C/16 AC PL SC/APC LIGHT,FIBERHOME,FDP420E16,1,,,,,,,,,,,,
S0195,AREA EX2,CIERRE,CIERRE DE EMPALME FOSC 350 C/1 CHAROLA,COMMSCOPE,1034325,2,1,,,,,,,,,,,
S0196,AREA EX4,CIERRE,CIERRE DE EMPALME 96,,1028772,0,,,,,,,,,,,,
S0197,AREA EX4,CORTADORA,CORTADORA METAL AMARILLO,,,1,,,,,,,,,,,,
S0198,AREA EX4,TALADRO,TALADRO PERCUTOR / DESTORNILLADOR 10 MM / ROJO,MILWAUKEE,2408-20,-2,,,,,,,,,,,,
S0199,AREA EX4,ROTOMARTILLO,"ROTOMARTILLO, VERDE OBSCURO",MAKITA,HR24,1,,,,,,,,,,,,
S0200,AREA F,ADAPTADOR,ADAPTADOR DE PODER NB5,SAGEMCOM,NB518E120150VV,0,,,,,,,,,,,,
S0201,AREA F,ADAPTADOR,ADAPTADOR DE PODER AM52,AMIGO,AM52000-1201500FU,0,,,,,,,,,,,,
S0202,AREA F,ADAPTADOR,ADAPTADOR DE PODER PA158,,PA158Y-12120-U5,0,,,,,,,,,,,,
S0203,AREA F,ADAPTADOR,ADAPTADOR DE PODER DSA,DVE,DSA-30W-12Y8,0,,,,,,,,,,,,
S0204,AREA F,ADAPTADOR,ADAPTADOR DE PODER TVN08,,TVNO83012,0,,,,,,,,,,,,
S0205,AREA F,SELLADOR,SELLADOR ACRILICO BLANCO,ACRILASTIC,SEBLAACR,1,,,,,,,,,,,,
S0206,AREA F,SELLADOR,SELLADOR DE POLURETANO,DURETAN,SEBLADU,0,,,,,,,,,,,,
S0207,AREA F,ROLLO,ROLLO DE RAFIA BLANCO,,RABLA,-1,,,,,,,,,,,,
S0208,AREA F,CINTA DE ADVERTENCIA,CINTA DE ADVERTENCIA NARANJA,,CIAD,1,,,,,,,,,,,,
S0209,,MALETIN DE FPM-300/FLS-300/FOT-300,"CONTIENE: MEDIDOR DE POTENCIA FPM-300, ADAPTADOR DE FUENTE DE PODER, ADAPTADOR EA1012BVRS-090, CORREA",EXFO,,0,,,,,,,,,,,,
S0210,,MALETIN NEGRO,"CONTINE: MEDIDOR DE PÉRDIDA ÓPTICA FOT-300, MEDIDOR DE POTENCIA EPM-50, ADAPTADOR DE PODER HA48UF-0910",IPC TESTER,,0,,,,,,,,,,,,
S0211,,POLLO,KIT DE HERRAMIENTAS DE RED RJ11,,,0,,,,,,,,,,,,
S0212,,MOCHILA,"MOCHILA ROJO CON NEGRO, 21X11.5X3.4 CM, CONTIENE : 1 ALICATE AZUL, 1 FIBERBASI EXFO, 1 PELADOR, CABLE STRIPPER, CUTTER-GRIS, 1 PINZAS DE 3 NIVELES PARA FIBRA ÓPTICA, AMARILLO",HONY,,1,Luis se llevo la mochila y las cosas se ingresaron al area E,,,,,,,,,,,
S0213,AREA P1,ROUTER,"MODEM INALAMBRICO, NEGRO",TELMEX,ATW-622G,12,,,,,,,,,,,,
S0214,AREA P1,CHAROLA DE EMPALME,CHAROLA DE EMPALME,COMMSCOPE,1028663,4,,,,,,,,,,,,
S0215,AREA P2,GRAPA SUJETADOR,GRAPA DE POLIPROPILENO PARA CABLE REDONDO,THORSMAN,TC3-5RC 3/4,9550,9700,,,,,,,,,,,
S0216,,CINCHO,"CINCHO DE ACERO INOXIDABLE 200 MM / 4,6 MM",THORSMAN,1036713,312,98,,,,,,,,,,,
S0217,,CINTURON DE PLASTICO,CINTURON PLASTICO BLANCO 200MM,,,0,,,,,,,,,,,,
S0218,,CINTURON DE NYLON,CINTURON DE NYLON NEGRO MEDIANO 193 MM,CORMAC,1000713,-70,,,,,,,,,,,,
S0219,AREA G,CINTURON DE ACERO INOXIDABLE,"CINTURON DE ACERO 300MM/ 4,6 MM",THORSMAN,1036714,0,,,,,,,,,,,,
S0220,,SPLITTER,"Splitter (Divisor Óptico) tipo PLC, de 1x2, balanceado (50/50) para fusión (sin conectores)",FIBERHOME,PLC102S,6,,,,,,,,,,,,
S0221,AREA H,SPLITTER,"PLC SPLITTER 1X16, VERDE / CABLE BLANCO",TELNET,300060407,8,12,,,,,,,,,,,
S0222,,SPLITTER,DIVISOR ÓPTICO DESBALANCEADO 25/75 ,FIBERHOME,SSCA1X2131025/7502.4X251M,0,,,,,,,,,,,,
S0223,AREA B,SPLITTER,DIVISOR ÓPTICO 15/85 SIN CONECTORES,FIBERHOME,SSCA1X2131015/8502.4X251M,-2,5,,,,,,,,,,,
S0224,,CABLE DISCO DURO,SUPERECABLE 30474-12 CABLE DE EXTENCIÓN DE ALIMENACIÓN DE DATOS 22 PIN,SUPERECABLE,,0,,,,,,,,,,,,
S0225,,CINTA DE AISLAR,CINTA AISLANTE DE PVC PARA USO INDUSTRIAL NEGRO,SIGTRONIC S-TAPE+,,0,,,,,,,,,,,,
S0226,,CINTA DE AISLAR,"CINTA AISLANTE DE 18 M. ANCHO 19 MM, NEGRO",SAANELEC-ITTO,7501942357083,0,,,,,,,,,,,,
S0227,,CINTA DE AISLAR,CINTA AISLANTE DE VINIL 18 MM X 18 M NEGRO,YEILITE,92-8288,0,,,,,,,,,,,,
S0228,AREA B,CINTA DE AISLAR,"CINTA DE AISLAR, AISLANTE ELECTRICO, PVC 19MMX18M",TRUPER,M-33,-2,5,,,,,,,,,,,
S0229,,CABLE,CABLE PARA AUDIO DE CAMARA,,,0,,,,,,,,,,,,
S0230,,CABLE,CABLE DE ATERRIZAJE PARA CIERRE DE EMPALME,,,0,,,,,,,,,,,,
S0231,,HEBILLA,"HEBILLA PARA FLEJE 15.8 MM 5/8""",OPTRONICS,OPHAHEBAI58,0,,,,,,,,,,,,
S0232,,ROSETA,ROSETA TELEFONO PARA F.O. CON ACOPLADOR,TELMEX,1034495,139,,,,,,,,,,,,
S0233,AREA D,CAJA DE HERRAMIENTAS,"CAJA DE HERRAMIENTAS VERDE, CONTIENE 23 DESTORNILLADORES, 1 PINZAS CON LUPA, Y 1 LLAVE",,,1,,,,,,,,,,,,
S0234,AREA G,HEBILLA,HEBILLA PARA FLEJES,PANDUIT,ESBE16-C2,49,,,,,,,,,,,,
S0235,,SPLITTER,DIVISOR DE FIBRA FUNDIDA,OPTICTIMES,FBT01-2-90/10,0,,,,,,,,,,,,
S0236,,SPLITTER,SPLITTER 30/70,,SPL3070,0,,,,,,,,,,,,
S0237,,ROUTERBOARD,"CLOUD SWITCH SERIES, 5-PORTDESK CRS305-1G-45+IN",MIKROTIK,X0025U1UE9,0,,,,,,,,,,,,
S0238,AREA D,CINTA DE AISLAR,"CINTA AISLANTE DE VINIL, USO DOMESTICO / RESIDENCIAL, 1600, 18.4 mm X 18M, CINTA DE AISLAR",TEMFLEX,3M,61,55,,,,,,,,,,,
S0239,AREA P2,SUJETADOR ,GRAPA- SUJETADOR DE POLIPROPILENO PARA CABLE PLANO,THORSMAN,TC5X8,100,,,,,,,,,,,,
S0240,AREA H,FUSIONADORA,"ESTUCHE CON FUSIONADORA DE FIBRA OPTICA, NARANJA, MARCA SUMITOMO, MODELO TYPE-Q102-M12 / CARGADOR DE FUSIONADORA / PELADORA TERMICA PARA DESMOLDEO, GRIS, MARCA FUJIKURA, MODELO RS03 / FIBER CLEAVER, MARCA FTTx, MODELO S09 / 2 CABEZALES DE 8 / 2 CABEZALES DE 12 / CORTADORA DE 3 TIEMPOS MARCA FIS, MODELO F11301T",,,0,,,,,,,,,,,,
S0241,,SPLITTER,"SPLITTER SIN CONECTORES, DIVISOR OPTICO 1X2 20/80",FIBERHOME,SSCA1X22131020X8002.4X251M,0,,,,,,,,,,,,
S0242,,SPLITTER,"SPLITTER 1X8 PLC, COLOR AMARILLO, CONECTOR VERDE",,,0,,,,,,,,,,,,
S0243,AREA H,SPLITTER,"PLC SPLITTER 1X16, VERDE- CABLE BLANCO",YOFC,300060407,13,,,,,,,,,,,,
S0244,AREA A,LIMPIADOR,"Limpiador 9392 del conector fibra óptica,Conec IBC para las virolas de 8.2 ft m (FC, SC, ST y E2000), COLOR AZUL",BIC,9392,1,,,,,,,,,,,,
S0245,,PONCHADORA,"HERRAMIENTA DE IMPACTO C/NAVAJA 110, AZUL CON NARANJA, REMATADORA",IDEAL,35-485,1,,,,,,,,,,,,
S0246,AREA A,PONCHADORA,"HERRAMIENTA DE IMPACTO NAVAJA G110 MULTIPOSICION /V/ /V, GRIS CON AMARILLO, REMATADORA",SAXXON,G110,1,,,,,,,,,,,,
S0247,AREA D,PELADORA,"PELADOR OPTICO DE FIBRA DE 3, AMARILLO",MILLER,FO-103-T-250-J,3,2,,,,,,,,,,,
S0248,AREA EX1,ANTENA,"LiteBeam airMAX M5 CPE hasta 100 Mbps, 5 GHz (5150 - 5875 MHz) con antena integrada de 23 dBi",UBIQUITINETWORKS,LBEM523,-9,,,,,,,,,,,,
S0250,AREA EX1,CABLE DE UTP,"CARRETE DE CABLE UTP, 4 PARES 24 AWG, 305 MTS",,,0,,,,,,,,,,,,
S0251,AREA EX3,SALCHICHA,CIERRE CONEX BAJAN OPTI C/ACOP SC-SC,FUSION GUARD,1035043,9,,,,,,,,,,,,
S0252,AREA EX2,TENSOR,TENSOR LOOP CROSS OPT,CROSSOP+,12-DDC-TL,5013,1200+600+300,,,,,,,,,,,
S0253,AREA EX3,GRAPA,"GRAPA PARA CABLE, CABLE STAPLE. REDONDOO, BLANCO 5MM, DE POLIETILENO",VOLTECK,GCU-5B,40,,,,,,,,,,,,
S0254,AREA D,LIQUIDO PARA CABEZALES,"LIQUIDO PARA LIMPIEZA DE CABEZALES DE IMPRESORA, COMPATIBLE CON TINTAS COMESTIBLES",DOT INKJET,1984,1,,,,,,,,,,,,
S0255,AREA D,TINTA PARA IMPRESORA,"TINTA PREMIUM PARA IMPRESORA, BROTHER, CANON, EPSON, HP. 500 ML. COLOR NEGRO",XFUN TECHNOLOGY,TINEG,1,,,,,,,,,,,,
S0256,AREA D,TINTA PARA IMPRESORA,"TINTA PREMIUM PARA IMPRESORA, BROTHER, CANON, EPSON, HP. 500 ML. COLOR MAGENTA",XFUN TECHNOLOGY,TINMAG,1,,,,,,,,,,,,
S0257,AREA G,TINTA PARA IMPRESORA,"TINTA PREMIUM PARA IMPRESORA, BROTHER, CANON, EPSON, HP. 500 ML. COLOR AMARILLO",XFUN TECHNOLOGY,TINAM,0,,,,,,,,,,,,
S0258,AREA D,TINTA PARA IMPRESORA,"TINTA PREMIUM PARA IMPRESORA, BROTHER, CANON, EPSON, HP. 500 ML. COLOR CIAN",XFUN TECHNOLOGY,TINCI,1,,,,,,,,,,,,
S0259,AREA H,SPLITTER,DIVISOR OPTICO 13/14/15-TWC-1X2-40/60,SIN MARCA,TWC-1X2-40/60,18,2,,,,,,,,,,,
S0260,,TIJERAS,"TIJERA PARA KEVLAR USO MECANICO, ACERO Y PLÁSTICO",MILLER / RIPLEY,KS-1 SHEARS 80671,0,,,,,,,,,,,,
S0261,AREA EX5,CARRETE DE FIBRA ÓPTICA,"CARRETE DE FIBRA ÓPTICA DE 2 KM, VARIAS MARCAS",VARIAS,NA,116,HAY 56 CARRETES EN AREA EX,,,,,,,,,,,1240
S0262,,TOMACORRIENTE,"TOMACORRIENTE MULTIPLE HORIZONTAL, PARA RACK 19"", 10 CONTACTOS. NEGRO",LINKEDPRO,HTCM1U10C,0,,,,,,,,,,,,
S0263,AREA B,CABLE,"CABLE CAT 6 UTP RJ45 TO RJ45 PATCH CORD CAT 6/CLASS E, AZUL",PANDUIT,NK6PC7BUY,6,,,,,,,,,,,,
S0264,AREA B,CABLE,"CABLE UTP RJ45 - CAT 5E, NEGRO DE 90 CM.",---,E315882,6,,,,,,,,,,,,
S0265,AREA P3,ORGANIZADOR,"ORGANIZADOR ORIZONTAL DE CABLES PARA RACK DE 19"" DE 2 UNIDADES, NEGRO SEMI-MATE",LINKEDPRO,LPCM042U,2,1,,,,,,,,,,,
S0266,,SWITCH,"CLOUD ROUTER SWITCH SERIE 5, BLANCO 8 PUERTOS",MIKROTIK,CRS1128G45IN,0,,,,,,,,,,,,
S0267,AREA A,CONECTOR,"CONECTOR PREPULIDO SC/APC DE 3MM, VERDE",GT NETWORKS,GT-202112,1000,,,,,,,,,,,,
S0268,AREA E,CORTADORA,"CORTADORA DE FIBRA OPTICA, DORADA",VAWA,FC-30,1,,,,,,,,,,,,
S0269,AREA E,CORTADORA,"CORTADORA DE FIBRA OPTICA, NEGRA",FIBER CLEAVER,,1,,,,,,,,,,,,
S0270,AREA B,DESFORRADORA,"DESFORRADORA USO MECANICO, METAL, PLASTICO 14.7X3.5X4",MILLER / RIPLEY,MK02,1,,,,,,,,,,,,
S0271,,CONECTOR,"CONECTOR PREPILIDO SC/APC 250UM, VERDE",ROAN OPTICAL,L5504,85,,,,,,,,,,,,
S0272,AREA P2,DIVISOR OPTICO,"SPLITTER, DIVISOR OPTICO 1X4 SIN CONECTORES, COLORES",FIBERHOME,PLC104S,19,11,,,,,,,,,,,
S0273,AREA H,KIT EXTENSOR KVM,KIT EXTENSOR HDMI 1080 KVM SOBRE cat5 /5e/6 A 120M,EPCOM TITANIUM,TT373KVM-4.0,0,,,,,,,,,,,,
S0274,AREA D,CALIBRADOR,"CALIBRADOR MILIMETRICO ESTANDAR, ACERO INOXIDABLE, ESTUCHE Y PILA",TRUPER,CALDI-6MP,1,,,,,,,,,,,,
S0275,,MARTILLO,MARTILLO MANGO DE MADERA Y CABEZA DE ACERO INOXIDABLE,TRUPER,MA-16 752,1,,,,,,,,,,,,
S0276,,DESARMADOR,"DESARMADOR MANGO DE ACETATO. ALTA RESISTENCIA A IMPACTOS Y SOLVENTES 6"" / 1 1/4"", PLANO",TRUPER,DR-1/4X6,2,1,,,,,,,,,,,
S0277,AREA B,DESARMADOR,"DESARMADOR MANGO DE ACETATO. ALTA RESISTENCIA A IMPACTOS Y SOLVENTES 6"" / 2, PHILLIPS",TRUPER,DP-1/4X6,1,,,,,,,,,,,,
S0278,AREA B,BROCA,BROCA CON PUNTA DE CARBURO PARA TALADRO MARTILLO DE 3/8 10 MM,MAKITA,D-24418,1,,,,,,,,,,,,
S0279,AREA B,TALADRO,"DREMEL 3000, GRIS Y NEGRO",DREMEL,DREMEL-3000,1,,,,,,,,,,,,
S0280,AREA B,CABLE,"CABLE DE AUDIO Y VIDEO, 5VCC, NEGRO DISPLAY PORT TO VGA",N/A,S629994348,5,6,,,,,,,,,,,
S0281,,POLLO,POLLO SIN LAPIZ 77 M THE TRACER,TEMPO,,1,,,,,,,,,,,,
S0282,AREA A,COJIN,"COJIN PARA SELLOS, GRIS Y SELLO",,,1,"SOLO QUEDA EL SELLO, EL COJIN SE LO LLEVA EL ING. CESAR",,,,,,,,,,,
S0283,AREA E,DISCO DURO,DISCO DURO SOLIDO SSD SA/ADAPTADOR P2240 GB SUB30,ADATA,DJHD63483,1,,,,,,,,,,,,
S0284,AREA A,CARGADOR,"CARGADOR PARA PILAS, GRIS",MASTER,CL-40,2,,,,,,,,,,,,
S0285,AREA OFICINA,RADIO,RADIOS NEGROS,KENWOOD,,3,Se coloca atrás del lugar del ing. Cesar,,,,,,,,,,,
S0286,AREA D,ATENUADOR,"ATENUADOR DE FIBRA ÓPTICA PLASTIC, LC/UPC, OS29/125/5DB, PARES",,CG2110229053-NC,20,18,,,,,,,,,,,
S0287,AREA E,ATENUADOR,"ATENUADOR DE FIBRA ÓPTICA PLASTIC, LC/UPC, OS29/125/3BD, PARES",,CG2109230174-NC,4,,,,,,,,,,,,
S0288,AREA OFICINA,ADAPTADOR,"ADAPTADOR PARA ENLACES- VARIAS MARCAS, PIEZAS",VARIAS,VARIOS,8,SE INGRESA NUEVAMENTE CON NUEVAS CLAVES,,,,,,,,,,,
S0289,AREA E,PINCELES,PINCELES VARIOS TAMAÑOS,,,4,,,,,,,,,,,,
S0290,,PONCHADORA,PONCHADORA R-J45 AMARILLA,,,0,,,,,,,,,,,,
S0291,AREA B,BROCA,"BROCA CON PUNTA DE CARBURO 1/4"", PARA TALADRO MARTILLO",MAKITA,D-24365,3,,,,,,,,,,,,
S0292,AREA B,BROCA,"BROCA CON PUNTO DE CARBURO 5/16"", PARA TALADRO MARTILLO",MAKITA,D-24387,0,,,,,,,,,,,,
S0293,AREA D,PINZAS,"PINZA PELADORA DE 3 PASOS, AMARILLA",CHINA,N,1,,,,,,,,,,,,
S0294,,MODULOS,"MODULOS SFP-10G, 10GSFP+1270/1330 MM 10 KM, PARES",FS,BDLR,2,,,,,,,,,,,,
S0295,,MODULOS,"MODULO SFP-10G-BX 10ESFP-1270, 1330NM 20KM, PARES",FS,LR,1,,,,,,,,,,,,
S0296,,MODULOS,"MODULOS SFP-10G-8X40-1330,1270 40 KM, PARES",FS,BDER,1,,,,,,,,,,,,
S0297,AREA OFICINA,MODULOS,MODULO GPON-OLT-CLASS C++ 38JO-6537E-,HUAWEI,OSG002008,20,16,,,,,,,,,,,
S0298,AREA OFICINA,MODULOS,MODULO GPON-OLT-CLASS C+,HUAWEI,,150,C+ 51 PZ Y C++ 36 PZ,,,,,,,,,,,
S0299,,MODULOS,"MODULOS  10G-1550NM, 40KM, 5 M, SFP+",HUAWEI,MTRS-1560-01,0,,,,,,,,,,,,
S0300,AREA E,CONECTOR JACK,"Conector Jack Estilo 110 (de Impacto), Tipo Keystone, Categoría 5e, de 8 posiciones y 8 cables, Color Rojo",PANDUIT,NKP5E88MRD,2,,,,,,,,,,,,
S0301,AREA E,CONECTOR JACK,"Conector Jack Estilo 110 (de Impacto), Tipo Keystone, Categoría 5e, de 8 posiciones y 8 cables, Color Azul",PANDUIT,NKP5E88MBU,11,HAY 3 EN AREA EX2,,,,,,,,,,,
S0302,AREA E,CONECTOR JACK,"Conector Jack Estilo 110 (de Impacto), Tipo Keystone, Categoría 6, de 8 posiciones y 8 cables, Color Blanco",PANDUIT,NK688MWH,1,,,,,,,,,,,,
S0303,,CINCHO,CINCHO DE PLASTICO BLANCO 8 CM,N/A,N/A,-65,,,,,,,,,,,,
S0304,AREA E,ETIQUETADORA,ETIQUETADORA BLANCA,BROTHER,PT-D400,1,,,,,,,,,,,,
S0305,AREA B,CABLE,"CABLE CAT 5E UTP RJ45 TO RJ45 PATCH CORA CAT 5E, CLASS 5D, T568A, ROJO",PANDUIT,NK5EPC3RDY,1,,,,,,,,,,,,
S0306,AREA P3,CHAROLA,"CHAROLA PARA SOPORTAR EQUIPOS EN RACK 19"" DE USO MULTIPLE, 1 UNIDAD",LINKEDPRO,SCH19X1U,3,,,,,,,,,,,,
S0307,,KIT DE FIBRA,"KIT DE FIBRA ÓPTICA, CORTADORA, MEDIDOR",EXFO,FOT-300,1,Atrás del Ing. Cesar,,,,,,,,,,,
S0308,AREA B,ADAPTADOR,Adaptador Macho Tipo Jack de 3.5 mm Polarizado de 12 Vcc / Terminales Tipo Tornillo / Polarizado (+/-) / Ideal para Cámaras de Video Vigilancia.,EPCOM POWERLINE,JR-52,29,18,,,,,,,,,,,
S0309,AREA H,FUSIONADORA,"kit de fusion estuche verde, fusionadora de fibra optica, roja, marca IOTHING, modelo IOT-68 / cortadora, maraca Eloik, modelo ALK-66A / cortadora fibra plana, verde / pinzas, negras / cargador de fusionadora",IOTHING,,1,,,,,,,,,,,,
S0310,AREA H,LAMPARAS,"LAMPARAS LED, VERDE",LUCECO,ELSWT22GBG3-MX2,1,,,,,,,,,,,,
S0311,AREA EX1,PERTIGA,"PERTIGA DE 5 SECCIONES, AMARILLA",,,1,,,,,,,,,,,,
S0312,AREA EX2,TENSOR,"TENSOR AISLADOR CON TAQUETE, NEGRO, BOLSAS DE 25 PZS",AMSA,1000677,400,,,,,,,,,,,,
S0313,AREA EX1,ROSETA,"ROSETA PARA FIBRA OPTICA FTTH TELMEX, BLANCA 3M",FTTH TELMEX,1034445,139,,,,,,,,,,,,
S0314,AREA EX1,CABLE,"CABLE RJ45, GRIS PARA INSTALACIONES, PATCH GRIS/AMARILLO",,PATCH,325,,,,,,,,,,,,
S0315,AREA EX1,CAJA FAT,"CAJA FAT, PARA INSTALACIONES EN LA PARED, GRIS",YOFC,,5,,,,,,,,,,,,
S0316,AREA EX1,FACEPLATE,"NETKEY2 POSITION FACEPLATE C, COMPATIBLE WITH NETKEY NETWORK, COMPONENTS SOLUTION",PANDUIT,NK2FIWY-3V,3,,,,,,,,,,,,
S0317,AREA EX1,PLACA,"PLACA 3 MODULOS CON RECEPTACULO DUPLEX, BLANCO",EATON,100-6288WP,1,,,,,,,,,,,,
S0318,AREA EX1,INTERRUPTOR,INTERRUPTOR SENCILLO ITALIANA 125V-10A,VOLTECK,APSE-1,1,,,,,,,,,,,,
S0319,AREA EX1,CONTACTO,CONTACTO POLARIZADO Y ATERRIZADO ITALIANA-127V,VOLTECK,COA-1,1,,,,,,,,,,,,
S0320,AREA EX1,INTERRUPTOR,INTERRUPTOR BLANCO,,,12,,,,,,,,,,,,
S0321,AREA EX4,ROSETA,ROSETAS,N/A,N/A,1590,,,,,,,,,,,,
S0322,AREA EX1,HERRAJES,HERRAJE TIPO D,,,-810,Hay 543 en el area abajo,,,,,,,,,,,
S0323,AREA A,WIRE TRACKER,"DETECTOR DE TRAFICO, AZUL",RECEIVER,,1,,,,,,,,,,,,
S0324,AREA A,TEMPORIZADOR,TEMPORIZADOR BLANCO,STEREN,326,1,,,,,,,,,,,,
S0325,AREA P3,DISTRIBUIDOR  DE ENERGIA,UNIDAD DE DISTRIBUCION DE ENERGIA,LINKEDPRO,LPPDU14C125V,1,,,,,,,,,,,,
S0326,AREA EX 3,BATERIA DE CARGA AUTOMATICA,"Cargador de Baterías de Plomo Ácido 12 Volts, 15 A con Función de Respaldo de Energía en CD",SAMLEX,SEC1215UL,3,Hay 4 mas la parte de abajo,,,,,,,,,,,
S0327,AREA H,CORNETA,"ANTENA SECTORIAL SIMETRICA, STARTERHORN 30° USMA",RFELEMENTS,STH30USMA,0,,,,,,,,,,,,
S0328,AREA H,CABLE,"CARRETE DE CABLE, AMARILLO",,,1,,,,,,,,,,,,
S0329,AREA EX2,TENSOR,TENSOR P/CORD ACOM OPT 3MM,AMSA,1038272,300,,,,,,,,,,,,
S0330,AREA EX2,TENSORES,TENSORES,,,-1959,1200+600+300,,,,,,,,,,,
S0330,AREA EX3,TENSORES,TENSORES,,,972,,,,,,,,,,,,
S0331,AREA EX4,ESCRITORIO,"ESCRITORIO DE TRABAJO, PLATEADO",CONMFORTZONE,64060,1,,,,,,,,,,,,
S0332,AREA B,PROBADOR,"PROBADOR DE TENSIÓN SIN CONTACTO, PROVO-2, NEGRO Y BLANCO",TRUPER,90 V-1000V,1,,,,,,,,,,,,
S0333,AREA EX3,HEBILLA,"HEBILLA PARA FLEJE 15.8 MM 5/8""",OPTRONICS,OPHAHEBAI58,682,1055,,,,,,,,,,,
S0334,AREA EX3,TAQUETE,"TAQUETE DE PLASTICO ANCLO GARRAS, 7.9 MM 5/16"", BLANCO Y GRIS",ANCLO,AG5610A,19,227,,,,,,,,,,,
S0335,AREA EX4,HERRAJES,HERRAJE TIPO PERA,,,-448,60+,,,,,,,,,,,
S0336,AREA H,FUSIONADORA,"KIT FUSIONADO ESTUCHE AMARILLO, FUSIONADORA DE FIBRA OPTICA, GRIS, MARCA FIBERFOX, MODELO MINI 5C / CLEAVER, NEGRO, MODELO SKL-6C / 3 PILAS PARA FUSIONADORA Y CARGADO DE FUSIONADORA",,,0,,,,,,,,,,,,
S0337,AREA E,CAMARA,AUDIO POR COAXITRON / Bala TURBOHD 5 Megapixel / Gran Angular 85.5° / Lente 2.8 mm / 30 mts IR EXIR / Exterior IP67 / 4 Tecnologías / dWDR,EPCOM,B50TURBOG2A,0,,,,,,,,,,,,
S0338,AREA B,JUMPER,"Jumper de Fibra Óptica Monomodo LC/UPC-SC/APC Simplex, color amarillo 3 metros",LINKEDPRO,LPFOLCUSCA03,15,25,,,,,,,,,,,
S0339,AREA E,,Módulo Jack Keystone Cat5e con terminación 110 (Punchdown) para faceplate - Color Azul,LINKEDPRO,LPKJ505BU,2,,,,,,,,,,,,
S0340,AREA OFICINA,OPM,"MEDIDOR DE POTENCIA DE FIBRA OPTICA, COLO AZUL/GRIS",ELOIK,ALK1001B,1,Atrás del Ing. Cesar,,,,,,,,,,,
S0341,AREA E,BATERIAS,BATERIAS AAA,VOLTECK,46013,0,,,,,,,,,,,,
S0342,AREA B,DACC,JUMPER DE 2 MTS. PARA CONEXIÓN DIRECTA,FS,SFPP-PC02,2,1 EN AREA B,,,,,,,,,,,
